Position,Team,Pld,W,D,L,GF,GA,GD,Pts,Season
1,Sydney FC,27,20,4,3,64,22,42,64,17/18
2,Newcastle Jets,27,15,5,7,57,37,20,50,17/18
3,Melbourne City,27,13,4,10,41,33,8,43,17/18
4,Melbourne Victory,27,12,5,10,43,37,6,41,17/18
5,Adelaide United,27,11,6,10,36,38,-2,39,17/18
6,Brisbane Roar,27,10,5,12,33,39,-6,35,17/18
7,Western Sydney Wanderers,27,8,9,10,38,47,-9,33,17/18
8,Perth Glory,27,10,2,15,36,50,-14,32,17/18
9,Wellington Phoenix,27,5,6,16,31,55,-24,21,17/18
10,Central Coast Mariners,27,4,8,15,28,49,-21,20,17/18
1,Sydney FC,27,20,6,1,55,12,43,66,16/17
2,Melbourne Victory,27,15,4,8,49,31,18,49,16/17
3,Brisbane Roar,27,11,9,7,43,37,6,42,16/17
4,Melbourne City,27,11,6,10,49,44,5,39,16/17
5,Perth Glory,27,10,9,8,53,53,0,39,16/17
6,Western Sydney Wanderers,27,8,12,7,35,35,0,36,16/17
7,Wellington Phoenix,27,8,6,13,41,46,-5,30,16/17
8,Central Coast Mariners,27,6,5,16,31,52,-21,23,16/17
9,Adelaide United,27,5,8,14,25,46,-21,23,16/17
10,Newcastle Jets,27,5,7,15,28,53,-25,22,16/17
1,Adelaide United,27,14,7,6,45,28,17,49,15/16
2,Western Sydney Wanderers,27,14,6,7,44,33,11,48,15/16
3,Brisbane Roar,27,14,6,7,49,40,9,48,15/16
4,Melbourne City,27,13,5,9,63,44,19,44,15/16
5,Perth Glory,27,13,4,10,49,42,7,43,15/16
6,Melbourne Victory,27,11,8,8,40,33,7,41,15/16
7,Sydney FC,27,8,10,9,36,36,0,34,15/16
8,Newcastle Jets,27,8,6,13,28,41,-13,30,15/16
9,Wellington Phoenix,27,7,4,16,34,54,-20,25,15/16
10,Central Coast Mariners,27,3,4,20,33,70,-37,13,15/16
1,Melbourne Victory,27,15,8,4,56,31,25,53,14/15
2,Sydney FC,27,14,8,5,52,35,17,50,14/15
3,Adelaide United,27,14,4,9,47,32,15,46,14/15
4,Wellington Phoenix,27,14,4,9,45,35,10,46,14/15
5,Melbourne City,27,9,8,10,36,41,-5,35,14/15
6,Brisbane Roar,27,10,4,13,42,43,-1,34,14/15
7,Perth Glory,27,14,8,5,45,35,10,50,14/15
8,Central Coast Mariners,27,5,8,14,26,50,-24,23,14/15
9,Western Sydney Wanderers,27,4,6,17,29,44,-15,18,14/15
10,Newcastle Jets,27,3,8,16,23,55,-32,17,14/15
